time,latitude,longitude,depth,mag,place
2023-12-29T00:50:00.639Z,-21.8741,-175.9158,145.952,4.7,"100 km SW of Houma, Tonga"
2023-12-29T00:45:48.323Z,-7.3111,68.0138,10.0,4.7,Chagos Archipelago region
2023-12-29T00:38:04.868Z,-7.1878,68.0211,10.0,5.1,Chagos Archipelago region
2023-12-29T00:34:01.346Z,-14.6795,167.1985,114.713,4.4,"42 km NNE of Port-Olry, Vanuatu"
2023-12-29T00:24:49.693Z,-20.6389,-177.8389,386.842,4.4,"270 km WNW of Houma, Tonga"
2023-12-28T23:23:28.871Z,-6.0599,148.2248,72.584,4.8,"69 km NE of Finschhafen, Papua New Guinea"
2023-12-28T22:48:26.484Z,1.156,126.3562,47.743,4.6,"121 km WNW of Ternate, Indonesia"
2023-12-28T22:44:58.620Z,-1.7562,-78.0928,164.91,4.2,"15 km WSW of Palora, Ecuador"
2023-12-28T22:37:37.025Z,-12.9186,66.4515,10.0,5.3,Mid-Indian Ridge
2023-12-28T22:22:13.392Z,-2.253,139.1225,32.261,4.2,"172 km WNW of Abepura, Indonesia"
2023-12-28T21:52:55.979Z,-13.7943,167.1598,203.133,4.7,"43 km WNW of Sola, Vanuatu"
2023-12-28T20:53:55.909Z,-26.4533,-177.1053,105.809,4.5,south of the Fiji Islands
2023-12-28T20:35:56.817Z,9.2977,126.8191,10.0,4.5,"69 km E of Cortes, Philippines"
2023-12-28T19:45:29.570Z,-21.1089,168.526,10.0,4.6,"82 km NE of Tadine, New Caledonia"
2023-12-28T18:57:11.575Z,-56.1883,-27.3123,92.869,4.8,South Sandwich Islands region
2023-12-28T18:50:25.909Z,-48.9846,164.5202,8.63,4.2,off the west coast of the South Island of New Zealand
2023-12-28T18:27:28.843Z,8.3548,126.2781,79.396,4.4,"4 km N of Bigaan, Philippines"
2023-12-28T16:46:21.683Z,-17.32,-178.9095,534.953,4.4,"205 km ENE of Levuka, Fiji"
2023-12-28T16:42:26.909Z,44.451,149.05,58.79,4.4,"126 km SE of Kuril’sk, Russia"
2023-12-28T16:40:23.681Z,-19.8811,-177.5434,495.388,4.0,"273 km WNW of Houma, Tonga"
2023-12-28T16:10:27.756Z,8.3648,127.1915,10.0,4.5,"86 km ENE of Barcelona, Philippines"
2023-12-28T15:48:33.019Z,8.5588,126.4999,51.88,5.0,"27 km NE of Hinatuan, Philippines"
2023-12-28T15:38:27.760Z,44.4857,148.8878,49.497,4.3,"114 km SE of Kuril’sk, Russia"
2023-12-28T15:04:23.193Z,44.4806,149.0767,52.902,4.6,"125 km SE of Kuril’sk, Russia"
2023-12-28T14:49:23.436Z,27.8668,128.9747,51.324,4.5,"9 km NE of Amagi, Japan"
2023-12-28T14:17:50.308Z,11.6982,124.3946,10.0,4.6,"8 km W of Tucdao, Philippines"
2023-12-28T14:12:21.390Z,-29.9877,-177.3627,10.0,4.7,"Kermadec Islands, New Zealand"
2023-12-28T13:54:49.861Z,12.5286,-88.1504,62.641,4.8,"74 km S of Intipucá, El Salvador"
2023-12-28T13:16:53.788Z,40.5601,142.4133,38.266,4.8,"68 km NE of Kuji, Japan"
2023-12-28T12:40:43.038Z,44.5032,149.1989,35.0,4.9,"131 km SE of Kuril’sk, Russia"
2023-12-28T11:44:09.943Z,44.5081,148.875,35.0,4.6,"112 km SE of Kuril’sk, Russia"
2023-12-28T11:03:46.349Z,-59.4329,-151.808,10.0,4.7,Pacific-Antarctic Ridge
2023-12-28T10:40:34.887Z,36.3336,28.3997,71.016,4.2,"17 km E of Faliraki, Greece"
2023-12-28T10:09:46.797Z,-60.9676,-54.1857,10.0,4.7,South Shetland Islands
2023-12-28T10:08:35.997Z,-61.0903,-53.9128,10.0,5.2,South Shetland Islands
2023-12-28T10:07:44.692Z,44.442,149.0796,46.877,4.5,"128 km SE of Kuril’sk, Russia"
2023-12-28T09:37:26.968Z,44.4629,149.0713,42.223,5.0,"126 km SE of Kuril’sk, Russia"
2023-12-28T09:34:06.950Z,38.1995,38.0744,10.0,4.6,"17 km SSE of Akçadağ, Turkey"
2023-12-28T09:22:45.056Z,-21.185,-68.479,135.158,4.3,"23 km W of Ollagüe, Chile"
2023-12-28T09:15:16.131Z,44.596,149.0388,31.0,6.5,"115 km SE of Kuril’sk, Russia"
2023-12-28T09:12:59.697Z,-65.4365,-179.6885,10.0,5.8,Pacific-Antarctic Ridge
2023-12-28T07:58:08.799Z,36.162,69.9176,122.959,4.2,"45 km S of Farkhār, Afghanistan"
2023-12-28T07:03:50.566Z,-6.9015,125.7205,510.158,4.3,"180 km N of Metinaro, Timor Leste"
2023-12-28T06:51:58.594Z,10.9242,-70.49,17.868,4.4,"23 km ESE of Dabajuro, Venezuela"
2023-12-28T01:35:11.401Z,6.121,125.4786,35.0,5.2,"12 km ENE of Suyan, Philippines"
2023-12-28T01:16:36.459Z,-21.5745,170.1511,70.751,4.1,"235 km E of Tadine, New Caledonia"
2023-12-28T00:41:51.722Z,1.3802,127.3648,12.737,4.4,"65 km N of Ternate, Indonesia"
2023-12-28T00:27:19.349Z,2.5063,128.6111,228.921,4.2,"108 km NE of Tobelo, Indonesia"
2023-12-28T00:14:44.871Z,-24.2036,-67.0556,210.942,4.4,"74 km W of San Antonio de los Cobres, Argentina"
2023-12-27T23:33:38.029Z,56.3932,-34.1628,10.0,5.1,Reykjanes Ridge
2023-12-27T22:43:56.800Z,-7.7769,107.9533,72.197,5.1,"50 km SSW of Singaparna, Indonesia"
2023-12-27T22:01:08.286Z,-52.9925,-117.9904,10.0,4.7,southern East Pacific Rise
2023-12-27T21:33:18.754Z,-53.0898,-118.1134,10.0,5.8,southern East Pacific Rise
2023-12-27T20:28:00.780Z,-54.4016,-120.1055,10.0,4.6,southern East Pacific Rise
2023-12-27T19:56:20.252Z,34.4841,62.1198,9.976,4.3,"16 km NNW of Herāt, Afghanistan"
2023-12-27T18:52:52.803Z,53.4551,160.209,61.978,4.2,"114 km ENE of Petropavlovsk-Kamchatsky, Russia"
2023-12-27T18:52:44.282Z,-9.9486,123.7035,39.974,5.0,"26 km NNE of Kupang, Indonesia"
2023-12-27T17:57:31.412Z,11.1524,125.8418,47.332,4.0,"18 km NE of Guiuan, Philippines"
2023-12-27T17:22:35.132Z,2.6771,128.5912,224.789,4.4,"123 km NNE of Tobelo, Indonesia"
2023-12-27T15:40:37.483Z,56.4341,-34.0131,10.0,5.0,Reykjanes Ridge
2023-12-27T15:36:07.393Z,-53.1275,-117.7908,10.0,5.4,southern East Pacific Rise
2023-12-27T15:31:19.124Z,8.8522,127.7701,10.0,4.3,"160 km E of Aras-asan, Philippines"
2023-12-27T13:17:16.404Z,8.8827,126.2602,10.0,4.4,"5 km W of Aras-asan, Philippines"
2023-12-27T13:04:12.459Z,41.0715,33.7513,10.0,4.9,"19 km NNE of Ilgaz, Turkey"
2023-12-27T13:02:42.643Z,-53.4017,-117.782,10.0,4.9,southern East Pacific Rise
2023-12-27T12:12:10.193Z,8.4289,-103.4931,10.0,4.3,northern East Pacific Rise
2023-12-27T12:10:50.010Z,8.2106,-103.7925,10.0,4.4,northern East Pacific Rise
2023-12-27T11:36:13.848Z,-17.0229,168.5917,235.649,4.5,"84 km NNE of Port-Vila, Vanuatu"
2023-12-27T11:30:15.723Z,-21.2228,-173.909,10.0,4.0,"109 km E of ‘Ohonua, Tonga"
